block_id,port_id
1,1
1,2
2,6
2,7
4,12
5,14
6,21
7,25
7,26
8,30
8,31
9,37
9,38
9,39
10,42
10,43
10,44
11,46
11,47
11,48
12,50
12,51
12,52
13,54
13,55
14,58
14,59
14,60
14,61
14,62
15,64
15,65
16,67
16,68
18,72
18,73
19,78
20,82
20,83
21,87
22,91
23,94
23,95
23,96
24,100
24,101
24,102
25,104
25,105
26,107
26,108
27,111
27,112
28,114
28,115
29,117
